Loan_ID,Customer_ID,Gender,Employment_Status,Loan_Amount,Interest_Rate,Loan_Term,Loan_Purpose,Loan_Status,Monthly_Income,Credit_Score
9ab73cef-7253-4b95-be45-43c64a6aa820,e5f8d0a7-e6ea-4f28-bce5-165daac4cd36,Female,Self-employed,49562,14.64,24,Education,Defaulted,4627,615
e7ff03a4-c1da-494f-a889-b3a907ffc21f,4b5d55db-00e7-4b3b-bc5f-35b372e78c1e,Female,Unemployed,21951,4.4,24,Medical Bills,Rejected,3999,697
4373b2dd-a25e-4fce-bd97-7ba8f185cfd7,f98ba41b-99ba-400d-a4e4-027d6028926b,Male,Employed,18454,7.31,48,Car Purchase,Defaulted,1771,388
38172533-aaaa-4e24-97ea-503c88cb8d8e,db822c6f-209d-444d-8596-594b04566afd,Female,Employed,46057,13.7,48,Car Purchase,Paid,114,800
2ccfd37e-2454-4a79-bd32-a18489e82db1,5cc47221-9e5c-4912-9a59-116a20aed05a,Male,Employed,20293,10.42,48,Business,Paid,4078,585
fbf3d753-f1e2-460f-a18e-90d39d822729,002154e7-54fb-40b7-b658-d7353b090c74,Male,Unemployed,24481,9.88,48,Medical Bills,Paid,735,515
687dd82f-a9fd-4f3a-87f3-fc6a084862dd,b6162955-a71f-41c7-8929-e42be646dc77,Male,Unemployed,27598,5.77,36,Business,Rejected,3800,465
53fb8505-63f9-417b-abd7-7f78dacb21cd,e7d76dea-63ad-4a47-8bdd-f4d7a040c23b,Male,Retired,13264,7.57,12,Business,Defaulted,2423,545
d7c4ec1f-9d2d-4e48-a175-02b518d0c329,58cd421b-3f97-403e-98e0-569962ef7e0d,Male,Retired,14005,12.66,12,Business,Rejected,455,628
5810df85-a530-43b5-9b3e-0721084cee27,f96370c7-4b9f-459d-abe1-ee8b5f0148db,Female,Unemployed,25100,8.38,48,Education,Defaulted,2313,845
393a6f23-9329-4393-b0c1-b44f3055c793,d315c75d-6d5f-44be-8fa1-97cbb82dbf60,Female,Self-employed,41212,9.15,48,Home Renovation,Paid,3492,713
16d6753f-265e-4fa5-a6c6-93037d8658ee,38f5f1fd-80cf-43c5-98a9-e4ba0ed72d8c,Male,Retired,22485,7.09,12,Home Renovation,Paid,1364,670
f86d31c8-211f-466c-88b0-8eebe37bdad8,a6e94756-94f8-462e-b938-4e45e8dc7ca0,Female,Retired,8673,9.96,60,Home Renovation,Defaulted,2495,636
26b26a0a-b3e0-4e75-85f5-3a352e8449ee,89fb22d6-8b0c-4878-94cf-345e5ae8c020,Male,Unemployed,16569,6.33,48,Business,Approved,2956,454
3d808527-c75e-4cbf-9088-4c4226072976,81a5011c-407f-4d33-b0e4-2133445b7364,Female,Employed,18279,4.52,48,Home Renovation,Paid,1812,542
0bd2d204-c635-45ac-bf61-3e8c585027d8,26878fd7-d4ca-47f6-a0ca-1798bcf583a7,Male,Employed,19714,4.16,12,Home Renovation,Approved,4931,805
5bb7af50-478f-4989-bc44-293d369d2a33,2f0181da-5ac5-469a-a3ca-a3fc32d45f06,Male,Unemployed,12204,11.59,48,Education,Rejected,1197,410
6462b5a4-2255-4eb1-95b5-e033a3e05ba5,09d35dc2-2ed6-447b-ac07-c5727f3d2e59,Female,Employed,26884,8.44,12,Medical Bills,Defaulted,4850,763
5008de4b-d346-448f-9848-2a741f7659e5,172b3585-e94c-49f2-8660-fdf4d552636c,Male,Unemployed,25871,4.06,60,Home Renovation,Defaulted,3441,610
8e4a9f97-3c52-45b8-ab57-c678546f0d3c,1fd9ee43-54eb-4b5a-87cd-148fdc957b4c,Female,Retired,19882,13.83,36,Car Purchase,Defaulted,2047,640
6ff60d57-9838-42f8-8d9d-552818cb5295,a81c58bd-cb7a-4f18-a6ad-1436e8472468,Female,Retired,40423,3.76,48,Medical Bills,Approved,3336,752
0caaa068-038f-4e84-bb49-71cb5cc13341,41cee87f-93a3-4038-a5f2-b61d5488cec5,Female,Retired,17656,9.07,48,Business,Rejected,4987,665
e0c7764b-782c-4d86-824c-01240a2d767b,71a4e7a0-9996-4fb8-ae1a-7ab6f69de327,Female,Retired,44323,4.18,36,Medical Bills,Approved,4099,678
96cd32ab-c9ac-42ec-9ba2-65c16e6adf03,5ccedf9b-fce3-4b0c-b5ff-969886e11ed9,Female,Retired,5023,12.82,60,Medical Bills,Defaulted,2626,483
4590116e-6617-41df-8a26-db0f3bbcde89,dbd3eb64-e57f-4af2-b1ac-1e5bbd113bf5,Female,Unemployed,30724,10.64,60,Business,Paid,4946,551
bc2c02ad-88b6-4ff5-bb60-fbf570605931,965c23ea-d8d2-4b4c-9c76-fb7145576c19,Male,Retired,18207,4.07,60,Business,Rejected,2714,825
f90ac6c8-664f-4b4d-a705-c064cceaf195,11092637-e52b-4022-8628-6bd5704324e3,Male,Retired,4451,9.54,24,Medical Bills,Approved,2963,782
9de5927b-a36b-4272-9792-200f2c6a5ab5,68f540e3-f07f-40c0-9be1-31c0f667bbf9,Male,Retired,20626,6.24,24,Education,Approved,2679,748
5a3cafc2-46fe-445f-bf61-d5c3f56e26ce,33535135-07e1-42ef-a00f-9a76f26c7b46,Female,Employed,45218,4.04,24,Medical Bills,Paid,5000,328
f61645c1-4a10-4fc2-8462-4871e57380e5,72418409-560e-47be-aa75-68d0f6b45b53,Female,Unemployed,36331,8.72,60,Education,Paid,1873,686
09e0366a-4f20-445b-9b12-0458c62b3469,a49c500f-57d9-4731-8278-e688633a979b,Male,Unemployed,30417,5.65,60,Business,Rejected,3552,731
55547849-e90f-484c-a4f3-5435096d5be4,ba696bb7-5d7b-4aae-8d21-ddc656ed58eb,Female,Employed,1224,10.27,36,Car Purchase,Rejected,4350,751
b37cfe14-7e8d-4239-ae03-e4c96f397d2b,f6bba642-1315-4007-a477-7318ee324bb3,Female,Retired,39090,7.38,36,Home Renovation,Rejected,4823,326
